anno,cantidad_fresa,precio_agucate,precio_cebolla,precio_fresa,precio_limon
2000,141130,4215962,193079,763979,3345697
2001,130688,5031165,302112,791760,2234497
2002,142245,4039519,369720,1034918,2424787
2003,150261,5372985,393836,1064389,3070561
2004,177230,6083868,369012,1202346,3144548
2005,162627,7617437,363518,1449007,2601408
2006,191843,9123000,228056,1745675,3327506
2007,176396,12019338,246384,1763554,4113807
2008,207485,12459379,339555,1472563,4859806
2009,233041,15073387,303208,1953466,4973204
2010,226657,14165792,408493,2102674,5437027
2011,228900,18136378,320652,2514604,6342921
2012,360426,16608180,336307,4336393,4946434
2013,379464,18060120,397074,4173573,6563784
2014,458972,20715972,412820,5472461,9062875
2015,392625,22548751,390772,5779008,8995338
2016,468248,30265751,468345,7827468,10376141
2017,658436,39705991,484030,12642366,12699776
2018,653639,41908119,483500,13401644,13953964
2019,861337,49481379,771681,20584212,17520981
2020,557514,49369380,574161,10720440,18948120
