description,sku,category
Tubo termocotractil,MLED-2H-7/25,Accesorio
tubo T8 led de 18W,T8IC-LED-18W/BN,Accesorio
Tubo plástico termo-contráctil 5 cm. para manguera LED NEON,MLED-NEON-7,Accesorio
TUBO DE ADHESIVO PARA MOLDURAS,MPMLED-A-T,Accesorio
Tira RGBW Controlada Mediante Infrarrojo,TL-RGBW-CI,Producto
"Tira RGB flexible 420 LEDs x metro, LED COB,  interior",TLED-COB-15W/RGB,Producto
Tira Led RGB de 3 Metros con Sensor de movimiento,TL-RGB-2M,Producto
"Tira flexible IP45, 60 LEDs x metro, 5050 SMD, 127V, Blanco Neutro",MLED-60-IP45-5050-127V-CD/BN,Producto
Tira flexible de led 2110 de 4mm 4000k 24V,TLED-168-2110/4000K,Producto
Regleta tipo tira LED Luz de Dia,REGLED-15W-TLED-6500k,Producto
CONECTOR DE PRESIÓN PARA TIRAS 2835 SMD,MLED-60-5-2835,Accesorio
Conector blanco a 135 grados para perfil tipo barandal,PL-200-5252-BC6,Accesorio
Cable c/doble conector de presión para tiras 5050 SMD,MLED-60-1-5050,Accesorio
Base Portalámpara Para Tubo T8 60 cm,BP-T8-60,Accesorio
Arbotante led con sistema de vigilancia y sensor de movimiento,A-LED-2671-S,Accesorio
Arbotante con sensor de movimiento PIR,TSM-007/LED-S,Accesorio
"""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",H-TLED-60-2835/LD,Producto
"Driver 12 V DC, 200 Watts, IP20 uso interior, proyectos""",DRIVERLED-12V-200W-PR-S,Accesorio
"""Driver, 48 V DC, 100 Watts, IP20 uso interior, tracklight en color negro""",Tracc-Driver-100W-48V-NG,Accesorio
"""Fotocelda interna para cargas incandescentes,halógenas y LED""",FI-770/LED,Accesorio
Accesorio de unión para perfil multiusos a 30° en vertical,PLMX-250-8452-12,Accesorio
Accesorio de unión para perfil multiusos a 45°,PLMX-250-8452-7,Accesorio
JUEGO DE TAPAS FINALES PARA PERFIL MINIATURA PARA EMPOTRAR,PLMX-250-0907-1,Accesorio
GRAPA DE PLÁSTICO FLEXIBLE PARA TODO TIPO DE TIRA FLEXIBLE,MLED-GF,Accesorio
GRAPA DE PLÁSTICO FLEXIBLE PARA TODO TIPO DE TIRA FLEXIBLE,MLED-GF,Accesorio
CABLE CONECTOR TIRA A TIRA GRADO IP68 CON LED 2835,CMLED-IP-TCT,Accesorio
Perfil lineal de aluminio para closet en color madera nogal,PLMX-250-1524-MN,Producto
Perfil lineal de aluminio para closet en color madera obscura,PLMX-250-1524-MO,Producto
Perfil lineal de aluminio para closet en color negro rugoso,PLMX-250-1524-NR,Producto
LUMINARIOS SUSPENDIO CON TRES RECTANGULOS DE ILUMINACIÓN EN COLOR MADERA OBSCURA CON ILUMINACIÓN BLANCO NEUTRO,MESSIER-II-MO-BN,Producto
LUMINARIOS SUSPENDIO CON TRES RECTANGULOS DE ILUMINACIÓN EN COLOR BLANCO MATE CON ILUMINACIÓN BLANCO CALIDO,MESSIER-II-BN-BC,Producto
LUMINARIOS SUSPENDIO CON TRES RECTANGULOS DE ILUMINACIÓN EN COLOR CHAMPAGNE CON ILUMINACIÓN BLANCO CALIDO,MESSIER-II-CH-BC,Producto
LUMINARIO ARBOTANTE DE 1.5M EN COLOR ALUMINIO BRILLANTE CON ILUMINACIÓN BLANCO NEUTRO,PEGASI-VI-ALB-BN,Producto
LUMINARIO ARBOTANTE DE 1.5M EN COLOR ALUMINIO BRILLANTE CON ILUMINACIÓN RGB,PEGASI-VI-ALB-RGB,Producto
LUMINARIO ARBOTANTE DE 1.5M EN COLOR MADERA NOGAL CON ILUMINACIÓN BLANCO CALIDO,PEGASI-VI-MN-BC,Producto

